Price,Condo,Size,Rooms,Toilets,Suites,Parking,Elevator,Furnished,Swimming Pool,New,District,Negotiation Type,Property Type,Latitude,Longitude,price_m2,x,y
1195614,0,110,3,2,1,2,0,0,1,0,Mooca/São Paulo,sale,apartment,-23.556404,-46.606369,10869.218181818182,336044.60586616735,7393965.590756746
2450000,1452,221,3,4,3,4,1,1,1,0,Mooca/São Paulo,sale,apartment,-23.550987,-46.590908,11085.972850678732,337616.2673900641,7394583.056137738
919990,701,126,3,4,3,2,1,1,1,0,Mooca/São Paulo,sale,apartment,-23.549196,-46.595386,7301.507936507936,337156.9106917314,7394776.305569637
1550000,1600,172,3,5,3,3,0,0,1,0,Mooca/São Paulo,sale,apartment,-23.556104,-46.607512,9011.627906976744,335927.55104581953,7393997.503767972
580000,750,87,3,3,1,2,1,0,1,0,Mooca/São Paulo,sale,apartment,-23.55654,-46.604418,6666.666666666667,336243.94059157686,7393952.761337684
1650000,1100,185,4,4,1,2,0,0,1,0,Mooca/São Paulo,sale,apartment,-23.55675,-46.598875,8918.918918918918,336810.05105255597,7393935.8298620675
629950,0,83,3,3,1,2,1,0,1,0,Mooca/São Paulo,sale,apartment,-23.560043,-46.604831,7589.759036144578,336206.1237077847,7393564.376395151
441000,550,69,2,2,1,2,1,0,1,1,Mooca/São Paulo,sale,apartment,-23.559428,-46.60377,6391.304347826087,336313.6697888024,7393633.692358784
550000,0,77,3,2,1,2,0,0,0,0,Mooca/São Paulo,sale,apartment,-23.557436,-46.595304,7142.857142857143,337175.43707482214,7393863.926427502
203000,190,34,2,2,1,1,1,0,1,0,Mooca/São Paulo,sale,apartment,-23.55989,-46.594119,5970.588235294118,337299.428124764,7393593.52393678
680000,700,85,3,2,1,2,1,0,1,0,Mooca/São Paulo,sale,apartment,-23.563142,-46.584295,8000.0,338306.2521383058,7393244.529459712
345300,0,58,3,2,0,1,1,0,0,1,Mooca/São Paulo,sale,apartment,-23.549321,-46.583944,5953.448275862069,338325.16788913787,7394775.415425833
995000,0,120,3,3,1,2,1,0,1,0,Mooca/São Paulo,sale,apartment,-23.565535,-46.601888,8291.666666666666,336513.3477566466,7392959.568439676
369000,0,60,3,2,1,1,1,0,1,0,Mooca/São Paulo,sale,apartment,-23.556681,-46.591792,6150.0,337533.02376016334,7393951.518987168
927000,820,140,3,2,1,3,1,0,1,0,Mooca/São Paulo,sale,apartment,-23.556407,-46.606371,6621.428571428572,336044.40542120696,7393965.256256333
880000,0,118,3,4,3,2,1,0,1,1,Mooca/São Paulo,sale,apartment,-23.558443,-46.593451,7457.627118644068,337365.83661647106,7393754.518661279
526000,0,70,2,2,1,1,1,0,1,0,Mooca/São Paulo,sale,apartment,-23.580576,-46.586502,7514.285714285715,338102.3485344434,7391311.450576747
660000,720,85,3,2,1,2,1,0,1,0,Mooca/São Paulo,sale,apartment,-23.563142,-46.584295,7764.705882352941,338306.2521383058,7393244.529459712
385000,530,64,2,2,1,1,1,1,1,0,Mooca/São Paulo,sale,apartment,-23.557841,-46.591533,6015.625,337560.8898114866,7393823.357868921
522900,650,83,3,2,1,2,1,0,1,1,Mooca/São Paulo,sale,apartment,-23.559428,-46.60377,6300.0,336313.6697888024,7393633.692358784
340000,452,65,3,2,1,1,1,1,1,0,Mooca/São Paulo,sale,apartment,-23.550464,-46.604648,5230.7692307692305,336212.92918931367,7394625.338181602
600000,882,82,2,2,1,1,0,1,1,0,Mooca/São Paulo,sale,apartment,-23.557555,-46.606281,7317.073170731707,336055.0177569101,7393838.232709885
441000,0,70,2,2,1,2,1,0,1,0,Mooca/São Paulo,sale,apartment,-23.559841,-46.604037,6300.0,336286.9258684829,7393587.652794274
390000,553,31,1,2,1,1,1,0,1,0,Brooklin/São Paulo,sale,apartment,-23.618622,-46.685512,12580.645161290322,328046.3800576397,7386982.736377673
830000,821,82,3,3,1,1,0,1,0,0,Brooklin/São Paulo,sale,apartment,-23.616463,-46.680541,10121.951219512195,328550.8039091299,7387227.797432082
420000,1200,54,2,2,1,1,1,1,1,0,Brooklin/São Paulo,sale,apartment,-23.603693,-46.694742,7777.777777777777,327084.96869773517,7388624.861609727
1737000,600,158,4,6,4,4,0,0,1,0,Brooklin/São Paulo,sale,apartment,-23.615268,-46.685278,10993.67088607595,328065.8790730858,7387354.443739857
780000,1300,110,3,2,1,1,1,0,1,0,Brooklin/São Paulo,sale,apartment,-23.61321,-46.681417,7090.909090909091,328457.1805243813,7387586.986967065
790000,750,105,2,2,1,1,1,0,1,0,Brooklin/São Paulo,sale,apartment,-23.616043,-46.68276,7523.809523809524,328323.8291166122,7387271.6455450645
550000,0,100,1,2,1,1,1,0,0,0,Brooklin/São Paulo,sale,apartment,-23.610462,-46.684729,5500.0,328115.62945580995,7387887.325613014
950000,0,113,3,2,1,1,0,0,0,0,Brooklin/São Paulo,sale,apartment,-23.612659,-46.678737,8407.079646017699,328729.938774636,7387651.218234141
785000,550,67,2,2,1,1,0,0,1,0,Brooklin/São Paulo,sale,apartment,-23.618385,-46.684776,11716.41791044776,328121.1712787335,7387009.867244392
570140,0,54,2,2,1,1,0,0,1,0,Brooklin/São Paulo,sale,apartment,-23.623669,-46.688265,10558.148148148148,327772.06800758874,7386420.510286249
1470000,900,130,3,5,3,2,1,0,1,0,Brooklin/São Paulo,sale,apartment,-23.619816,-46.695689,11307.692307692309,327009.49818842433,7386838.231035594
2050000,0,169,3,4,2,2,0,0,1,0,Brooklin/São Paulo,sale,apartment,-23.626047,-46.685233,12130.1775147929,328084.5427168868,7386160.818295561
1690000,1365,167,3,5,3,3,1,0,1,0,Brooklin/São Paulo,sale,apartment,-23.624065,-46.685122,10119.760479041915,328093.28062851296,7386380.441028021
760000,770,74,2,2,1,1,0,1,1,0,Brooklin/São Paulo,sale,apartment,-23.617511,-46.694794,10270.27027027027,327097.7963674794,7387094.573280148
555000,0,67,2,2,1,1,1,0,1,0,Brooklin/São Paulo,sale,apartment,-23.624665,-46.688734,8283.58208955224,327725.5167668548,7386309.646556972
688000,800,63,2,2,1,2,0,0,1,0,Brooklin/São Paulo,sale,apartment,-23.611935,-46.680022,10920.63492063492,328597.8713953659,7387729.854730567
690000,800,63,2,2,1,2,0,0,1,0,Brooklin/São Paulo,sale,apartment,-23.610342,-46.681432,10952.380952380952,328451.9155446298,7387904.574020794
1250000,950,125,3,4,1,2,1,0,1,0,Brooklin/São Paulo,sale,apartment,-23.62446,-46.68547,10000.0,328058.2884278385,7386336.279564068
950000,770,70,2,2,1,1,1,0,1,0,Brooklin/São Paulo,sale,apartment,-23.62339,-46.694729,13571.42857142857,327112.147122878,7386443.602134043
640000,850,72,2,2,1,1,1,0,0,0,Brooklin/São Paulo,sale,apartment,-23.612967,-46.683731,8888.888888888889,328220.73653894116,7387611.11866214
1000000,1500,121,3,4,1,3,1,1,1,0,Brooklin/São Paulo,sale,apartment,-23.610485,-46.681161,8264.462809917355,328479.7559004209,7387889.0631764475
847000,1020,83,3,3,1,2,1,0,1,0,Brooklin/São Paulo,sale,apartment,-23.619701,-46.678965,10204.819277108434,328715.8302652214,7386871.107571364
750000,950,94,3,4,1,2,1,0,1,0,Brooklin/São Paulo,sale,apartment,-23.612298,-46.681999,7978.723404255319,328396.60367373546,7387687.284309534
954000,1180,100,3,4,3,2,1,0,1,0,Brooklin/São Paulo,sale,apartment,-23.624773,-46.689663,9540.0,327630.86838656024,7386296.566234766
1180000,0,125,3,4,3,2,1,0,1,1,Brooklin/São Paulo,sale,apartment,-23.624773,-46.689663,9440.0,327630.86838656024,7386296.566234766
2790000,1650,225,4,4,3,4,1,0,1,0,Brooklin/São Paulo,sale,apartment,-23.614144,-46.688294,12400.0,327756.6525451249,7387475.286333576
555000,492,41,1,2,1,1,1,0,1,0,Brooklin/São Paulo,sale,apartment,-23.614331,-46.686158,13536.585365853658,327974.8590575224,7387457.149572447
440000,450,34,1,2,1,1,1,1,1,0,Brooklin/São Paulo,sale,apartment,-23.61244,-46.68121,12941.176470588236,328477.300879254,7387672.505859483
847000,1020,83,3,3,1,2,1,0,1,0,Brooklin/São Paulo,sale,apartment,-23.624752,-46.683948,10204.819277108434,328213.9654381558,7386305.773556111
1340000,1050,105,2,3,2,2,1,0,1,0,Brooklin/São Paulo,sale,apartment,-23.614441,-46.686832,12761.904761904761,327906.2263776085,7387444.156862526
1100000,1700,92,3,3,1,2,1,1,1,0,Vila Olimpia/São Paulo,sale,apartment,-23.601284,-46.678802,11956.521739130434,328708.5209596739,7388910.816830192
1400000,800,83,2,3,2,2,1,0,1,0,Vila Olimpia/São Paulo,sale,apartment,-23.599474,-46.675614,16867.469879518074,329031.51488360384,7389115.071364304
1650000,1500,136,2,5,2,2,1,0,1,0,Vila Olimpia/São Paulo,sale,apartment,-23.599257,-46.679927,12132.35294117647,328591.0767768476,7389133.940648877
1195000,700,76,2,2,1,2,1,0,0,0,Vila Olimpia/São Paulo,sale,apartment,-23.598468,-46.679859,15723.684210526315,328596.9905783824,7389221.39655895
1200000,840,96,3,3,1,2,0,0,1,0,Vila Olimpia/São Paulo,sale,apartment,-23.598272,-46.675348,12500.0,329057.10243072524,7389248.49939649
1950000,1500,111,3,4,1,2,0,0,1,0,Vila Olimpia/São Paulo,sale,apartment,-23.59433,-46.688316,17567.567567567567,327728.510463141,7389669.484416556
3700000,2100,210,4,7,3,3,1,1,1,0,Vila Olimpia/São Paulo,sale,apartment,-23.600786,-46.680126,17619.04761904762,328572.7564985171,7388964.379577946
